x,y,label
114.4881,-1.7142146,N
101.67102,-49.28692,N
110.970634,-2.1489809,N
107.81897,-3.7629085,N
96.25198,-3.8004372,N
109.12467,6.256131,N
86.84752,-56.159332,A
81.45466,-59.7149,N
106.66854,-10.792677,N
109.315285,-0.20848444,N
109.087585,-7.2335544,N
107.43901,-1.8735301,N
110.46907,0.08333315,N
109.682205,12.918944,N
100.23496,-56.633034,N
99.32951,-76.34319,N
97.69265,-11.177216,N
101.56711,-49.029224,N
99.17598,-84.26051,N
100.76716,-8.035098,N
107.08864,-35.783916,N
112.29697,-1.1196982,N
101.56713,-50.296852,N
104.077896,-9.305603,N
76.811874,-77.398186,N
104.78903,-9.313127,N
105.03227,-9.597081,N
91.13964,-3.2411554,N
99.284515,-10.172952,N
88.32492,-55.191032,N
89.738945,-46.18844,N
80.60842,-63.733894,N
97.52517,9.090992,N
101.72942,-10.526915,N
85.721725,-72.713486,N
104.54594,-65.903625,N
89.73931,-78.77093,N
95.946526,-6.450651,N
94.75249,-0.8837543,N
109.51009,-10.467439,N
98.69932,-71.24215,N
88.66246,23.573568,N
92.56585,23.159178,N
81.751335,-70.84898,N
92.95168,3.663085,N
97.01349,7.7947826,N
96.25845,19.5332,N
109.100266,-7.390196,N
90.45936,-76.589874,N
96.41541,13.656358,N
83.90281,-71.506996,N
103.89343,-63.65908,N
92.927086,-76.936485,N
94.81432,-0.64941186,N
90.920425,-5.4625483,N
93.44491,-11.253985,N
88.82711,-76.695984,N
90.41333,-77.3172,N
106.62295,-35.567234,N
103.421684,-79.87966,N
106.79106,-10.827359,N
93.65002,19.402521,N
100.66137,-71.1557,N
70.78496,27.77338,N
96.01358,15.283564,N
102.5092,-73.95157,N
103.78966,-64.26377,N
101.337875,-40.40289,N
107.14932,-4.0560265,N
118.49439,-18.934994,N
128.1705,3.7799623,N
126.7498,1.070832,N
106.69945,21.641327,N
128.1826,7.8573675,N
122.15548,20.92741,N
109.116844,25.806774,N
101.171585,-48.38825,N
106.72534,14.094667,N
116.33732,-24.228006,N
108.83723,10.635812,N
103.71235,-40.4358,N
116.193375,-22.12298,N
107.42711,23.664474,N
107.34602,2.367798,N
88.549255,-6.1913505,N
98.90867,-59.718822,N
102.87655,-15.1894045,N
92.91617,-11.780954,N
112.32356,5.849117,N
108.30824,-34.488934,N
97.50522,11.307449,N
96.62352,-0.6102778,N
98.704926,-8.4723,N
101.45258,-42.95547,N
111.393814,-48.901054,N
98.641174,-17.826036,N
92.73362,-5.346665,N
92.95729,3.6570668,N
96.369514,13.445424,N
97.307945,11.2397175,N
99.74711,-78.285904,N
110.71214,2.283383,N
110.168144,-32.706326,N
106.39413,19.568327,N
105.582245,15.327012,N
107.55687,12.079471,N
115.28775,-23.70782,N
108.84681,10.923985,N
100.31645,-75.88495,N
92.099884,4.8401527,N
87.02394,-4.1833725,N
110.07892,-9.596279,N
89.02492,-4.6055703,N
101.64816,66.51791,N
109.3595,-10.815217,N
108.392105,-10.221098,N
103.826614,-15.586865,N
99.82839,-57.215992,N
108.92711,25.82971,N
110.72028,-29.999083,N
107.269745,-3.6653845,N
106.85743,9.485567,N
108.90664,25.81576,N
106.45155,-58.470284,N
101.60154,-50.9063,N
106.54288,-37.656986,N
108.85304,6.013962,N
107.82332,-1.2065061,N
109.02221,-7.2727876,N
120.63724,-14.954242,N
106.431465,10.632672,N
104.37163,-70.76956,N
100.85796,-10.524051,N
98.11123,-55.70534,N
106.793205,11.324805,N
105.60042,17.67751,N
97.7558,11.158379,N
106.18845,-33.6519,N
101.97921,-70.53796,N
85.23839,-72.73378,N
81.846634,-60.132942,N
109.02958,-7.3895936,N
108.26773,3.9435642,N
68.16626,30.186916,N
88.87632,-4.266764,N
88.260155,7.109883,N
86.58534,-56.393852,N
95.87191,-10.865189,N
99.53479,-59.232845,N
101.60337,-51.20438,N
97.82336,8.123793,N
101.64934,-10.645381,N
107.746216,8.115457,N
106.380394,-37.118305,N
99.846794,-59.157238,N
110.523415,2.4750905,N
106.893715,7.287126,N
97.31569,-3.3999474,N
95.324005,0.728511,N
98.015785,8.102189,N
96.6044,13.03784,N
86.567276,-21.62103,N
84.67358,15.191093,N
89.77281,0.30715415,N
96.30285,17.918074,N
62.771744,27.6411,N
100.27234,-56.671436,N
98.60049,-7.806625,N
98.298546,-74.9898,N
94.05148,-80.260635,N
108.7816,11.021473,N
111.84367,-5.607024,N
96.73801,19.17487,N
97.71108,9.006062,N
108.131035,3.9361703,N
101.03789,-70.26827,N
95.3615,1.3252001,N
107.04508,-35.217033,N
109.16998,24.882896,N
107.2099,14.151496,N
97.91579,-4.3103685,N
105.84589,19.707323,N
106.93326,15.333209,N
106.749725,-10.7486725,N
93.72329,6.352111,N
108.330765,10.323123,N
108.60053,6.9085174,N
98.505585,-7.5777717,N
97.89725,8.010269,N
104.59898,14.539195,N
88.03949,6.579256,N
100.19785,-10.069041,N
85.50884,-53.229324,N
109.27744,24.782694,N
92.68269,-11.257434,N
96.80971,-2.2292914,N
101.492935,-8.297834,N
109.57161,2.3129675,N
95.46719,-16.17216,N
