true_label,predicted_label,features
A,N,"[0.27314814814814814, 0.05473154335604314, 0.21666666666666667, 0.3472222222222222, 3.0, 360.0, 2.8039806101513784, 15.023952085607498, 8.643967896582787, 0.6041725484005304, 0.33497405758308424]"
A,N,"[0.2712962962962963, 0.052427361729229884, 0.2111111111111111, 0.3388888888888889, 3.0, 360.0, 2.5989758658146673, 13.064836794113802, 8.53978604364496, 0.5808057608188566, 0.31235710410092377]"
A,N,"[0.26296296296296295, 0.03810947338380867, 0.2222222222222222, 0.3138888888888889, 3.0, 359.99999999999994, 2.2434252288063044, 10.229638355585703, 8.1357042934232, 0.6117389914571552, 0.31278139172067154]"
A,N,"[0.25925925925925924, 0.03343605571345888, 0.22777777777777777, 0.3055555555555556, 3.0, 360.0, 2.023666425570517, 8.677111850073487, 7.925377199331665, 0.6670173520080162, 0.3785945641861241]"
A,N,"[0.30000000000000004, 0.022222222222222227, 0.2777777777777778, 0.32222222222222224, 2.0, 360.00000000000006, 3.184107568564973, 17.267460829750767, 8.839443433350556, 0.5978887830199938, 0.4035227093751457]"
A,N,"[0.26018518518518524, 0.04434788894380759, 0.2, 0.3055555555555556, 3.0, 360.0000000000001, 3.07249833181133, 15.347444216469764, 8.528311489640018, 0.6119488686136931, 0.37414321629142655]"
A,N,"[0.3138888888888889, 0.022222222222222227, 0.2916666666666667, 0.33611111111111114, 2.0, 360.0, 3.363503662801137, 18.51938265634426, 8.94219535802273, 0.5904151131398646, 0.4401668901852646]"
A,N,"[0.2638888888888889, 0.04012583088892676, 0.21944444444444444, 0.31666666666666665, 3.0, 359.9999999999999, 2.878446840334639, 14.456466132974203, 8.368145969528417, 0.6180034200119534, 0.3577036754722864]"
A,N,"[0.2986111111111111, 0.048611111111111105, 0.25, 0.3472222222222222, 2.0, 359.99999999999994, 3.124716393496031, 17.382000423093725, 9.340016756709602, 0.588581077528043, 0.38630307230454475]"
A,N,"[0.29305555555555557, 0.012500000000000011, 0.28055555555555556, 0.3055555555555556, 2.0, 360.0, 2.675330188301434, 13.669202113804545, 8.521718049972849, 0.6302565835462596, 0.3971500157098419]"
A,N,"[0.27777777777777773, 0.06102687797512622, 0.21666666666666667, 0.3611111111111111, 3.0, 359.99999999999994, 3.025190158451296, 15.32646574895545, 8.548537316712967, 0.5894304979983742, 0.33860745269050824]"
A,N,"[0.26944444444444443, 0.05005141389533176, 0.2111111111111111, 0.3333333333333333, 3.0, 360.00000000000006, 3.1586796617180406, 15.178897752921724, 8.212313300517703, 0.5597060202178129, 0.356111820673816]"
A,N,"[0.2759259259259259, 0.061251242253856385, 0.2, 0.35, 3.0, 359.99999999999994, 3.300650887173512, 17.287129012837443, 8.64726806335101, 0.5834475379259578, 0.4369599495057445]"
A,N,"[0.3125, 0.015277777777777779, 0.2972222222222222, 0.3277777777777778, 2.0, 360.0, 3.156780389125135, 16.94403321741787, 8.5360330365531, 0.5989429313230727, 0.3920080474761577]"
A,N,"[0.2546296296296296, 0.031779633892093546, 0.21666666666666667, 0.29444444444444445, 3.0, 360.0, 2.628174214533872, 11.64740929182466, 7.523497654364972, 0.6552927100170719, 0.419660332051917]"
A,N,"[0.3277777777777778, 0.036111111111111094, 0.2916666666666667, 0.3638888888888889, 2.0, 359.9999999999999, 4.125484675973807, 23.578827532444475, 8.587138086274246, 0.5621231172327539, 0.3967518332400962]"
/,N,"[0.2425925925925926, 0.03910872607767199, 0.2, 0.29444444444444445, 3.0, 360.00000000000006, 2.4744743463120127, 11.799039502194148, 8.377359926032495, 0.6222721286844421, 0.39790368529010534]"
/,N,"[0.2601851851851852, 0.03864562361983188, 0.2111111111111111, 0.3055555555555556, 3.0, 359.99999999999983, 2.2028598724729975, 11.769201177685346, 8.929592890360562, 0.6409602907198195, 0.4784172840344375]"
/,N,"[0.23958333333333334, 0.026452773548251273, 0.20555555555555555, 0.275, 4.0, 359.9999999999999, 1.9063146657816366, 10.220619883677655, 8.630260691003246, 0.6132739101882133, 0.4406202042888574]"
/,N,"[0.2490740740740741, 0.028358134872432494, 0.225, 0.28888888888888886, 3.0, 359.99999999999994, 1.9985498443228398, 11.814529955703529, 9.114408632770106, 0.6035857216040151, 0.4239904075788067]"
/,N,"[0.26018518518518524, 0.03631235472431034, 0.21666666666666667, 0.3055555555555556, 3.0, 360.0000000000001, 2.3040849035777233, 10.656560315694282, 8.409485065551, 0.6241432156547816, 0.42014857405611317]"
