class,fpr,tpr
!,0.0,0.0
!,0.0,0.03177966101694915
!,0.0,0.036016949152542374
!,0.0,0.05084745762711865
!,0.0,0.05508474576271186
!,0.0,0.057203389830508475
!,0.0,0.06779661016949153
!,0.0,0.07627118644067797
!,0.0,0.0826271186440678
!,0.0,0.0847457627118644
!,0.0,0.1016949152542373
!,0.0,0.10805084745762712
!,0.0,0.11228813559322035
!,0.0,0.11440677966101695
!,0.0,0.11864406779661017
!,0.0,0.125
!,0.0,0.1292372881355932
!,0.0,0.13559322033898305
!,0.0,0.1419491525423729
!,0.0,0.1461864406779661
!,0.0,0.1673728813559322
!,0.0,0.17372881355932204
!,0.0,0.22245762711864406
!,0.0,0.2288135593220339
!,0.0,0.4639830508474576
!,0.0,0.4682203389830508
!,0.0,0.5021186440677966
!,0.0,0.5127118644067796
!,0.0,0.625
!,0.0,0.6292372881355932
!,0.0,0.6588983050847458
!,0.0,0.663135593220339
!,0.0,0.9703389830508474
!,8.922835320151331e-06,0.9703389830508474
!,8.922835320151331e-06,0.9766949152542372
!,1.7845670640302663e-05,0.9766949152542372
!,1.7845670640302663e-05,0.9788135593220338
!,2.6768505960453993e-05,0.9788135593220338
!,2.6768505960453993e-05,0.9872881355932204
!,5.3537011920907986e-05,0.9872881355932204
!,5.3537011920907986e-05,0.989406779661017
!,8.030551788136198e-05,0.989406779661017
!,8.030551788136198e-05,0.9915254237288136
!,8.922835320151332e-05,0.9915254237288136
!,8.922835320151332e-05,0.9936440677966102
!,0.00012491969448211865,0.9936440677966102
!,0.00012491969448211865,0.9957627118644068
!,0.00017845670640302664,0.9957627118644068
!,0.00017845670640302664,0.9978813559322034
!,0.00023199371832393462,0.9978813559322034
!,0.00023199371832393462,1.0
!,0.0005978299664501392,1.0
!,0.0006156756370904418,1.0
!,0.001427653651224213,1.0
!,0.0014454993218645158,1.0
!,0.0018113355699907203,1.0
!,0.001829181240631023,1.0
!,0.002239631665357984,1.0
!,0.0023020915125990435,1.0
!,0.0024983938896423726,1.0
!,0.0025162395602826753,1.0
!,0.0028374616318081235,1.0
!,0.002962381326290242,1.0
!,0.0030516096794917552,1.0
!,0.003069455350132058,1.0
!,0.0033906774216575057,1.0
!,0.0034085230922978084,1.0
!,0.003765436505103862,1.0
!,0.0037832821757441647,1.0
!,0.003827896352344921,1.0
!,0.0038457420229852236,1.0
!,0.003997430223427797,1.0
!,0.004175886929830823,1.0
!,0.00475587122564066,1.0
!,0.004791562566921265,1.0
!,0.005487543721893069,1.0
!,0.005657077592975944,1.0
!,0.005996145335141694,1.0
!,0.006013991005781997,1.0
!,0.007147191091441216,1.0
!,0.00717395959740167,1.0
!,0.007343493468484546,1.0
!,0.0073613391391248485,1.0
!,0.007664715540009993,1.0
!,0.007932400599614534,1.0
!,0.007994860446855594,1.0
!,0.008012706117495896,1.0
!,0.008940680990791634,1.0
!,0.008958526661431937,1.0
!,0.00970804482832465,1.0
!,0.009743736169605255,1.0
!,0.010796630737383111,1.0
!,0.010814476408023414,1.0
!,0.010868013419944322,1.0
!,0.010885859090584624,1.0
!,0.01092155043186523,1.0
!,0.010957241773145835,1.0
!,0.011108929973588408,1.0
!,0.01112677564422871,1.0
!,0.011198158326789921,1.0
!,0.011983367834963237,1.0
!,0.012259975729887929,1.0
!,0.012277821400528232,1.0
!,0.012616889142693983,1.0
!,0.012643657648654437,1.0
!,0.01319687343850382,1.0
!,0.013232564779784425,1.0
!,0.014124848311799557,1.0
!,0.014169462488400314,1.0
!,0.014633449925048184,1.0
!,0.014651295595688486,1.0
!,0.014758369619530302,1.0
!,0.014776215290170605,1.0
!,0.014972517667213935,1.0
!,0.014990363337854237,1.0
!,0.015177742879577415,1.0
!,0.015195588550217716,1.0
!,0.015293739738739381,1.0
!,0.015311585409379684,1.0
!,0.01549004211578271,1.0
!,0.015507887786423013,1.0
!,0.015606038974944678,1.0
!,0.01562388464558498,1.0
!,0.0157488043400671,1.0
!,0.015775572846027555,1.0
!,0.015793418516667858,1.0
!,0.01581126418730816,1.0
!,0.015989720893711187,1.0
!,0.016025412234991793,1.0
!,0.016078949246912697,1.0
!,0.016096794917553,1.0
!,0.016203868941394816,1.0
!,0.01622171461203512,1.0
!,0.016578628024841172,1.0
!,0.016596473695481475,1.0
!,0.016614319366121778,1.0
!,0.01663216503676208,1.0
!,0.016712470554643442,1.0
!,0.016739239060603896,1.0
!,0.016774930401884502,1.0
!,0.016801698907844956,1.0
!,0.016926618602327075,1.0
!,0.016944464272967377,1.0
!,0.01697123277892783,1.0
!,0.016989078449568134,1.0
!,0.01703369262616889,1.0
!,0.017078306802769647,1.0
!,0.01709615247340995,1.0
!,0.017122920979370404,1.0
!,0.017140766650010707,1.0
!,0.017194303661931615,1.0
!,0.017212149332571917,1.0
!,0.01722107216789207,1.0
!,0.01730137768577343,1.0
!,0.017408451709615247,1.0
!,0.017444143050895852,1.0
!,0.017515525733457063,1.0
!,0.017533371404097366,1.0
!,0.017542294239417517,1.0
!,0.01756013991005782,1.0
!,0.01756906274537797,1.0
!,0.017586908416018274,1.0
!,0.01769398243986009,1.0
!,0.019246555785566423,1.0
!,0.020959740167035477,1.0
!,0.02098650867299593,1.0
!,0.021682489827967735,1.0
!,0.021700335498608038,1.0
!,0.022226782782496967,1.0
!,0.022342779641658934,1.0
!,0.023163680491112858,1.0
!,0.02319044899707331,1.0
!,0.023556285245199513,1.0
!,0.023574130915839816,1.0
!,0.023707973445642086,1.0
!,0.02372581911628239,1.0
!,0.023886430152045113,1.0
!,0.023948889999286172,1.0
!,0.024564565636376615,1.0
!,0.02459133414233707,1.0
!,0.02479655935470055,1.0
!,0.024814405025340852,1.0
!,0.025082090084945392,1.0
!,0.02514454993218645,1.0
!,0.02572453422799629,1.0
!,0.025813762581197802,1.0
!,0.026081447640802342,1.0
!,0.026108216146762796,1.0
!,0.02626882718252552,1.0
!,0.026286672853165823,1.0
!,0.026295595688485975,1.0
!,0.026313441359126277,1.0
!,0.026482975230209153,1.0
!,0.026518666571489758,1.0
!,0.026786351631094295,1.0
!,0.02681312013705475,1.0
!,0.027321721750303375,1.0
!,0.02741987293882504,1.0
!,0.02762509815118852,1.0
!,0.027642943821828823,1.0
!,0.027651866657148975,1.0
!,0.02768755799842958,1.0
!,0.027937397387393818,1.0
!,0.02795524305803412,1.0
!,0.028035548575915482,1.0
!,0.028106931258476693,1.0
!,0.028258619458919266,1.0
!,0.02834784781212078,1.0
!,0.028570918695124563,1.0
!,0.028588764365764865,1.0
!,0.028597687201085017,1.0
!,0.028633378542365622,1.0
!,0.02868691555428653,1.0
!,0.028722606895567136,1.0
!,0.0288207580840888,1.0
!,0.028838603754729103,1.0
!,0.028856449425369406,1.0
!,0.028918909272610465,1.0
!,0.0291509029909344,1.0
!,0.029168748661574703,1.0
!,0.029231208508815762,1.0
!,0.029266899850096367,1.0
!,0.029338282532657578,1.0
!,0.029391819544578486,1.0
!,0.029463202227139697,1.0
!,0.029507816403740453,1.0
!,0.02954350774502106,1.0
!,0.02956135341566136,1.0
!,0.029570276250981513,1.0
!,0.029650581768862875,1.0
!,0.029837961310586053,1.0
!,0.029855806981226356,1.0
!,0.02989149832250696,1.0
!,0.029936112499107718,1.0
!,0.03002534085230923,1.0
!,0.030043186522949534,1.0
!,0.030061032193589837,1.0
!,0.03007887786423014,1.0
!,0.030114569205510745,1.0
!,0.030177029052751804,1.0
!,0.030185951888071955,1.0
!,0.030239488899992863,1.0
!,0.030301948747233923,1.0
!,0.03034656292383468,1.0
!,0.03036440859447498,1.0
!,0.030400099935755584,1.0
!,0.030453636947676492,1.0
!,0.030614247983439216,1.0
!,0.030658862160039973,1.0
!,0.030676707830680276,1.0
!,0.030721322007281032,1.0
!,0.030757013348561638,1.0
!,0.030801627525162394,1.0
!,0.03082839603112285,1.0
!,0.030873010207723605,1.0
!,0.031078235420087086,1.0
!,0.031140695267328145,1.0
!,0.031158540937968448,1.0
!,0.03117638660860875,1.0
!,0.031203155114569205,1.0
!,0.031221000785209507,1.0
!,0.03123884645584981,1.0
!,0.03124776929116996,1.0
!,0.03126561496181027,1.0
!,0.03128346063245057,1.0
!,0.03130130630309087,1.0
!,0.031345920479691626,1.0
!,0.03136376615033193,1.0
!,0.03140838032693269,1.0
!,0.0314797630094939,1.0
!,0.03148868584481405,1.0
!,0.03152437718609465,1.0
!,0.03163145120993647,1.0
!,0.03164929688057677,1.0
!,0.03167606538653723,1.0
!,0.03169391105717753,1.0
!,0.031711756727817834,1.0
!,0.03174744806909844,1.0
!,0.03177421657505889,1.0
!,0.031783139410379045,1.0
!,0.037565136697837107,1.0
!,0.038618031265614965,1.0
!,0.03863587693625527,1.0
!,0.03894817617246056,1.0
!,0.03896602184310086,1.0
!,0.03970661717467342,1.0
!,0.03975123135127418,1.0
!,0.04019737311728175,1.0
!,0.0402241416232422,1.0
!,0.04042936683560568,1.0
!,0.040447212506245986,1.0
!,0.041232422014419304,1.0
!,0.04143764722678278,1.0
!,0.04201763152259262,1.0
!,0.042035477193232924,1.0
!,0.04250838746520094,1.0
!,0.042526233135841245,1.0
!,0.042793918195445785,1.0
!,0.04282068670140624,1.0
!,0.04333821114997501,1.0
!,0.04337390249125562,1.0
!,0.04346313084445713,1.0
!,0.043480976515097434,1.0
!,0.043864658433863946,1.0
!,0.04388250410450425,1.0
!,0.04423049468199015,1.0
!,0.04424834035263045,1.0
!,0.04436433721179242,1.0
!,0.044551716753515595,1.0
!,0.04517631522592619,1.0
!,0.04519416089656649,1.0
!,0.04585445071025769,1.0
!,0.045934756228139056,1.0
!,0.047112570490399026,1.0
!,0.04732671853808266,1.0
!,0.047353487044043116,1.0
!,0.04766578628024841,1.0
!,0.04768363195088871,1.0
!,0.047888857163252196,1.0
!,0.0479067028338925,1.0
!,0.04800485402241416,1.0
!,0.04803162252837462,1.0
!,0.04833499892925976,1.0
!,0.048352844599900066,1.0
!,0.0485669926475837,1.0
!,0.048584838318224,1.0
!,0.049164822614033835,1.0
!,0.04918266828467414,1.0
!,0.04958419587408095,1.0
!,0.04973588407452352,1.0
!,0.049825112427725034,1.0
!,0.049842958098365336,1.0
!,0.049896495110286244,1.0
!,0.04991434078092655,1.0
!,0.05021771718181169,1.0
!,0.050235562852451995,1.0
!,0.05039617388821472,1.0
!,0.050458633735455775,1.0
!,0.05047647940609608,1.0
!,0.050503247912056536,1.0
!,0.05080662431294168,1.0
!,0.05086016132486259,1.0
!,0.05087800699550289,1.0
!,0.050895852666143195,1.0
!,0.0509493896780641,1.0
!,0.050967235348704405,1.0
!,0.05129738025555,1.0
!,0.05132414876151046,1.0
!,0.051556142479834394,1.0
!,0.051573988150474696,1.0
!,0.05167213933899636,1.0
!,0.051698907844956815,1.0
!,0.051725676350917266,1.0
!,0.05174352202155757,1.0
!,0.05181490470411878,1.0
!,0.05183275037475908,1.0
!,0.05202905275180241,1.0
!,0.052162895281604685,1.0
!,0.05220750945820544,1.0
!,0.05222535512884574,1.0
!,0.052385966164608465,1.0
!,0.05241273467056892,1.0
!,0.052698265400813765,1.0
!,0.05271611107145407,1.0
!,0.05287672210721679,1.0
!,0.052894567777857095,1.0
!,0.0529124134484974,1.0
!,0.0529302591191377,1.0
!,0.05301948747233921,1.0
!,0.053037333142979516,1.0
!,0.05306410164893997,1.0
!,0.05313548433150118,1.0
!,0.053162252837461635,1.0
!,0.05318009850810194,1.0
!,0.05321578984938254,1.0
!,0.053233635520022846,1.0
!,0.05339424655578557,1.0
!,0.05341209222642587,1.0
!,0.05354593475622814,1.0
!,0.05356378042686844,1.0
!,0.0536440859447498,1.0
!,0.0536619316153901,1.0
!,0.05385823399243343,1.0
!,0.053876079663073735,1.0
!,0.0539563851809551,1.0
!,0.053992076522235706,1.0
!,0.05409022771075737,1.0
!,0.054188378899279036,1.0
!,0.054268684417160394,1.0
!,0.05429545292312085,1.0
!,0.05458990648868584,1.0
!,0.054607752159326145,1.0
!,0.054750517524448566,1.0
!,0.05478620886572917,1.0
!,0.05483974587765008,1.0
!,0.05485759154829038,1.0
!,0.05502712541937326,1.0
!,0.055044971090013564,1.0
!,0.055187736455135986,1.0
!,0.05523235063173674,1.0
!,0.05540188450281962,1.0
!,0.05541973017345992,1.0
!,0.05543757584410022,1.0
!,0.055455421514740526,1.0
!,0.055464344350060674,1.0
!,0.055482190020700976,1.0
!,0.05575879791562567,1.0
!,0.055776643586265974,1.0
!,0.05583910343350703,1.0
!,0.05585694910414733,1.0
!,0.05601756013991006,1.0
!,0.05603540581055036,1.0
!,0.05608894282247127,1.0
!,0.05634770504675566,1.0
!,0.05637447355271611,1.0
!,0.05639231922335641,1.0
!,0.05642801056463702,1.0
!,0.05644585623527732,1.0
!,0.056463701905917624,1.0
!,0.056481547576557926,1.0
!,0.056776001142122924,1.0
!,0.056802769648083375,1.0
!,0.056874152330644585,1.0
!,0.05690092083660504,1.0
!,0.05700799486044686,1.0
!,0.05703476336640731,1.0
!,0.05718645156684988,1.0
!,0.057293525590691695,1.0
!,0.057338139767292455,1.0
!,0.057364908273252906,1.0
!,0.057730744521379114,1.0
!,0.05774859019201942,1.0
!,0.05810550360482547,1.0
!,0.05839995717039046,1.0
!,0.05849810835891213,1.0
!,0.05851595402955243,1.0
!,0.058533799700192735,1.0
!,0.05855164537083304,1.0
!,0.05876579341851667,1.0
!,0.05878363908915697,1.0
!,0.05889071311299879,1.0
!,0.05893532728959954,1.0
!,0.05897101863088015,1.0
!,0.05898886430152045,1.0
!,0.059069169819401815,1.0
!,0.05908701549004212,1.0
!,0.05927439503176529,1.0
!,0.0593457777143265,1.0
!,0.059488543079448924,1.0
!,0.05950638875008923,1.0
!,0.059559925762010135,1.0
!,0.05957777143265044,1.0
!,0.05973838246841316,1.0
!,0.059756228139053465,1.0
!,0.059800842315654225,1.0
!,0.05985437932757513,1.0
!,0.05989007066885574,1.0
!,0.05990791633949604,1.0
!,0.059952530516096794,1.0
!,0.0599703761867371,1.0
!,0.06007745021057891,1.0
!,0.060095295881219216,1.0
!,0.0603005210935827,1.0
!,0.06032728959954315,1.0
!,0.06051466914126633,1.0
!,0.060532514811906635,1.0
!,0.06057712898850739,1.0
!,0.06059497465914769,1.0
!,0.060630666000428296,1.0
!,0.0606663573417089,1.0
!,0.060684203012349204,1.0
!,0.06070204868298951,1.0
!,0.060951888071953744,1.0
!,0.06096973374259405,1.0
!,0.06098757941323435,1.0
!,0.061166036119637376,1.0
!,0.06119280462559783,1.0
!,0.06121065029623813,1.0
!,0.06135341566136055,1.0
!,0.061371261332000854,1.0
!,0.06154079520308373,1.0
!,0.061558640873724035,1.0
!,0.06161217788564494,1.0
!,0.061630023556285246,1.0
!,0.06172817474480691,1.0
!,0.06174602041544721,1.0
!,0.061853094439289026,1.0
!,0.06207616532229281,1.0
!,0.062094010992933116,1.0
!,0.06211185666357342,1.0
!,0.062245699193375685,1.0
!,0.062317081875936896,1.0
!,0.0623527732172175,1.0
!,0.062370618887857804,1.0
!,0.062486615747019775,1.0
!,0.06250446141766007,1.0
!,0.06255799842958099,1.0
!,0.06257584410022128,1.0
!,0.06285245199514598,1.0
!,0.0630130630309087,1.0
